0,2,4,6.51206e-05
1,2,4,0.000329415
2,2,4,0.000390197
3,2,4,0.000434881
4,2,4,0.000181062
5,2,4,0.000138872
6,2,4,0.000155979
7,2,4,0.000154113
8,2,4,0.00015087
9,2,4,0.000151261
10,2,4,0.000149067
11,2,4,0.000162477
12,2,4,0.000163003
13,2,4,0.000161633
14,2,4,0.000133412
15,2,4,0.000142116
16,2,4,0.000166775
17,2,4,0.000159215
18,2,4,0.000154204
19,2,4,0.000138429
20,2,4,0.00012956
21,2,4,0.00013121
22,2,4,0.000118892
23,2,4,0.000120288
24,2,4,0.000129477
25,2,4,0.000138178
26,2,4,0.000161776
27,2,4,0.000160936
28,2,4,0.00017573
29,2,4,0.000194196
30,2,4,0.000211074
31,2,4,0.000214858
32,2,4,0.000199925
33,2,4,0.000199151
34,2,4,0.000190941
35,2,4,0.000170941
36,2,4,0.000186878
37,2,4,0.00018162
38,2,4,0.000193275
39,2,4,0.00016979
40,2,4,0.000171549
41,2,4,0.000166189
42,2,4,0.000161773
43,2,4,0.00015849
44,2,4,0.000180336
45,2,4,0.000175429
46,2,4,0.000168341
47,2,4,0.000144806
48,2,4,0.000146091
49,2,4,0.000160804
50,2,4,0.000174643
51,2,4,0.000207337
52,2,4,0.000225053
53,2,4,0.000229641
54,2,4,0.000217999
55,2,4,0.000195484
56,2,4,0.000186522
57,2,4,0.000176075
58,2,4,0.000165473
59,2,4,0.000177425
60,2,4,0.000189548
61,2,4,0.000199219
62,2,4,0.000180098
63,2,4,0.00015863
64,2,4,0.000152721
65,2,4,0.000150186
66,2,4,0.00014257
67,2,4,0.000127673
68,2,4,0.000117787
69,2,4,0.000114867
70,2,4,0.000117361
71,2,4,0.000118046
72,2,4,0.000121705
73,2,4,0.000122942
74,2,4,0.000126233
75,2,4,0.000122365
76,2,4,0.000118248
77,2,4,0.000111533
78,2,4,0.000112212
79,2,4,0.000113016
80,2,4,0.000124598
81,2,4,0.00014187
82,2,4,0.000153034
83,2,4,0.00019591
84,2,4,0.000187274
85,2,4,0.000187176
86,2,4,0.000143697
87,2,4,0.000151025
88,2,4,0.000163687
89,2,4,0.000176735
90,2,4,0.000195287
91,2,4,0.000204569
92,2,4,0.000209911
93,2,4,0.000209901
94,2,4,0.000214926
95,2,4,0.000228356
96,2,4,0.000233729
97,2,4,0.000225639
98,2,4,0.000216787
99,2,4,0.000214703
0,4,4,5.48263e-05
1,4,4,0.000187484
2,4,4,0.000216146
3,4,4,0.000268963
4,4,4,0.000169483
5,4,4,0.000154693
6,4,4,0.000136896
7,4,4,0.000118684
8,4,4,0.000120678
9,4,4,0.000119403
10,4,4,0.000125182
11,4,4,0.000123997
12,4,4,0.000127729
13,4,4,0.000143116
14,4,4,0.000142246
15,4,4,0.000150955
16,4,4,0.000127017
17,4,4,0.000127453
18,4,4,0.000138413
19,4,4,0.000136809
20,4,4,0.000144135
21,4,4,0.00014189
22,4,4,0.00014161
23,4,4,0.000132513
24,4,4,0.000120451
25,4,4,0.000122704
26,4,4,0.000133112
27,4,4,0.000146246
28,4,4,0.000153693
29,4,4,0.000152931
30,4,4,0.000148864
31,4,4,0.00014052
32,4,4,0.000155654
33,4,4,0.000159814
34,4,4,0.000169893
35,4,4,0.000149545
36,4,4,0.000151035
37,4,4,0.000131839
38,4,4,0.000114076
39,4,4,9.54857e-05
40,4,4,0.000109076
41,4,4,0.00012707
42,4,4,0.000131894
43,4,4,0.000128347
44,4,4,0.000113129
45,4,4,0.000134349
46,4,4,0.000140259
47,4,4,0.000161453
48,4,4,0.000144626
49,4,4,0.000145946
50,4,4,0.000157567
51,4,4,0.000163887
52,4,4,0.000181187
53,4,4,0.00018008
54,4,4,0.000187447
55,4,4,0.000181851
56,4,4,0.000176546
57,4,4,0.000172839
58,4,4,0.000165207
59,4,4,0.000143772
