0,2,4,0.000633719
1,2,4,0.000518262
2,2,4,0.000448763
3,2,4,0.000482202
4,2,4,0.000291385
5,2,4,0.000186195
6,2,4,8.16816e-05
7,2,4,0.000117715
8,2,4,0.000119063
9,2,4,0.000118334
10,2,4,0.000109873
11,2,4,0.000109425
12,2,4,0.000105587
13,2,4,0.00010577
14,2,4,0.000103764
15,2,4,0.000110531
16,2,4,0.000110198
17,2,4,0.000111368
18,2,4,0.000102211
19,2,4,9.95132e-05
20,2,4,9.83055e-05
21,2,4,0.000100432
22,2,4,0.000102481
23,2,4,0.000111791
24,2,4,0.000123273
25,2,4,0.000129935
26,2,4,0.000137182
27,2,4,0.000133134
28,2,4,0.000136318
29,2,4,0.000122899
30,2,4,0.000112447
31,2,4,0.000103914
32,2,4,0.000100931
33,2,4,0.000104843
34,2,4,0.000101642
35,2,4,0.000104863
36,2,4,0.000104097
37,2,4,0.000111824
38,2,4,0.000112512
39,2,4,0.000115448
40,2,4,0.000108853
41,2,4,0.000107919
42,2,4,0.000117081
43,2,4,0.000116332
44,2,4,0.000122304
45,2,4,0.000105261
46,2,4,0.000102195
47,2,4,0.000105089
48,2,4,0.000103586
49,2,4,0.000103729
50,2,4,0.000103748
51,2,4,0.000107065
52,2,4,0.000105038
53,2,4,0.000104378
54,2,4,9.81479e-05
55,2,4,9.62671e-05
56,2,4,9.65274e-05
57,2,4,9.83656e-05
58,2,4,9.86811e-05
59,2,4,0.000101699
60,2,4,0.000103027
61,2,4,0.000104595
62,2,4,0.000103578
63,2,4,0.000104783
64,2,4,0.000104437
65,2,4,0.000108392
66,2,4,0.000107405
67,2,4,0.000106997
68,2,4,0.000101351
69,2,4,0.000101256
70,2,4,0.000113156
71,2,4,0.000116786
72,2,4,0.00012062
73,2,4,0.000108613
74,2,4,0.000108147
75,2,4,0.000109973
76,2,4,0.000105369
77,2,4,0.000110131
78,2,4,0.000115501
79,2,4,0.000126454
80,2,4,0.000125208
81,2,4,0.000124348
82,2,4,0.000120586
83,2,4,0.000129487
84,2,4,0.000122454
85,2,4,0.000117417
86,2,4,0.000100227
87,2,4,9.97086e-05
88,2,4,9.84487e-05
89,2,4,0.000101204
90,2,4,9.95104e-05
91,2,4,0.000108142
92,2,4,0.000125783
93,2,4,0.00012571
94,2,4,0.00011775
95,2,4,0.000109099
96,2,4,0.000117236
97,2,4,0.0001234
98,2,4,0.000121071
99,2,4,0.000123797
0,4,4,0.000643999
1,4,4,0.000625527
2,4,4,0.000482821
3,4,4,0.0005387
4,4,4,0.000196973
5,4,4,0.000172917
6,4,4,0.000164158
7,4,4,0.000161465
8,4,4,0.000164632
9,4,4,0.000162023
10,4,4,0.000154765
11,4,4,0.000146921
12,4,4,0.00013537
13,4,4,0.000146469
14,4,4,0.000152019
15,4,4,0.000154485
16,4,4,0.000134191
17,4,4,0.000121267
18,4,4,0.000137209
19,4,4,0.000142785
20,4,4,0.000144523
21,4,4,0.00012934
22,4,4,0.000119721
23,4,4,0.000119771
24,4,4,0.000120873
25,4,4,0.000126158
26,4,4,0.000126254
27,4,4,0.000135005
28,4,4,0.000154577
29,4,4,0.000177019
30,4,4,0.000188169
31,4,4,0.000188299
32,4,4,0.000182149
33,4,4,0.000184992
34,4,4,0.000178709
35,4,4,0.000172376
36,4,4,0.000163704
37,4,4,0.000163421
38,4,4,0.00016869
39,4,4,0.000167602
40,4,4,0.000168283
41,4,4,0.000164198
42,4,4,0.000165666
43,4,4,0.000169806
44,4,4,0.000186248
45,4,4,0.000197107
46,4,4,0.000204314
47,4,4,0.000192679
48,4,4,0.000171098
49,4,4,0.000151617
50,4,4,0.000139551
51,4,4,0.000143684
52,4,4,0.000137918
53,4,4,0.000130567
54,4,4,0.000146274
55,4,4,0.000157097
56,4,4,0.000165591
57,4,4,0.000146577
58,4,4,0.000135952
59,4,4,0.000130907
60,4,4,0.000135381
61,4,4,0.000150498
