0,2,4,5.87136e-05
1,2,4,0.000379958
2,2,4,0.000445044
3,2,4,0.000496662
4,2,4,0.000164126
5,2,4,0.000130567
6,2,4,0.000123098
7,2,4,0.000134782
8,2,4,0.000134367
9,2,4,0.000150838
10,2,4,0.000148959
11,2,4,0.000145373
12,2,4,0.00013324
13,2,4,0.000134843
14,2,4,0.000135544
15,2,4,0.000137497
16,2,4,0.000127103
17,2,4,0.000119549
18,2,4,0.000122887
19,2,4,0.000122559
20,2,4,0.000119491
21,2,4,0.000103248
22,2,4,9.01374e-05
23,2,4,7.87291e-05
24,2,4,7.81002e-05
25,2,4,9.63646e-05
26,2,4,0.000108886
27,2,4,0.000119288
28,2,4,0.000110148
29,2,4,9.90573e-05
30,2,4,8.64808e-05
31,2,4,7.76215e-05
32,2,4,7.78872e-05
33,2,4,7.9884e-05
34,2,4,8.06253e-05
35,2,4,7.93973e-05
36,2,4,7.91075e-05
37,2,4,7.87112e-05
38,2,4,9.19667e-05
39,2,4,0.000103771
40,2,4,0.000109755
41,2,4,0.000113464
42,2,4,0.00012017
43,2,4,0.000125037
44,2,4,0.000121969
45,2,4,0.00010594
46,2,4,9.6129e-05
47,2,4,0.000101494
48,2,4,0.000104743
49,2,4,0.000117297
50,2,4,0.000109021
51,2,4,0.000118078
52,2,4,0.000116433
53,2,4,0.000132378
54,2,4,0.000131349
55,2,4,0.000135348
56,2,4,0.000125067
57,2,4,0.000115363
58,2,4,0.000116287
59,2,4,0.000118138
60,2,4,0.000135188
61,2,4,0.000126682
62,2,4,0.000112648
63,2,4,9.28005e-05
64,2,4,9.17108e-05
65,2,4,9.60038e-05
66,2,4,9.86513e-05
67,2,4,9.87314e-05
68,2,4,9.79202e-05
69,2,4,0.000102263
70,2,4,0.000101141
71,2,4,0.000101169
72,2,4,0.000103378
73,2,4,0.000110885
74,2,4,0.00011879
75,2,4,0.000125312
76,2,4,0.000117723
77,2,4,0.00010549
78,2,4,9.05287e-05
79,2,4,8.9369e-05
80,2,4,8.83599e-05
81,2,4,9.06042e-05
82,2,4,0.000106825
83,2,4,0.000125377
84,2,4,0.000139684
85,2,4,0.000127606
86,2,4,0.000112848
87,2,4,0.000101094
88,2,4,9.67756e-05
89,2,4,0.000102599
90,2,4,0.000103531
91,2,4,0.000107243
92,2,4,0.000103862
93,2,4,0.000114406
94,2,4,0.000137107
95,2,4,0.000148633
96,2,4,0.000146918
97,2,4,0.000138337
98,2,4,0.000138171
99,2,4,0.000146467
0,4,4,5.69324e-05
1,4,4,0.00016625
2,4,4,0.000234178
3,4,4,0.000278655
4,4,4,0.000174282
5,4,4,0.000126752
6,4,4,0.000110466
7,4,4,0.000106106
8,4,4,0.000118477
9,4,4,0.000129499
10,4,4,0.000129032
11,4,4,0.000135709
12,4,4,0.000126943
13,4,4,0.000116285
14,4,4,9.33188e-05
15,4,4,0.000125617
16,4,4,0.000129587
17,4,4,0.000140839
18,4,4,0.000126129
19,4,4,0.000125102
20,4,4,0.000117411
21,4,4,0.000114742
22,4,4,0.000111526
23,4,4,0.000113217
24,4,4,0.000129049
25,4,4,0.000132376
26,4,4,0.000132693
27,4,4,0.000117329
28,4,4,0.000114574
29,4,4,0.000112956
30,4,4,0.000114837
31,4,4,0.000115654
32,4,4,0.000116017
33,4,4,0.000112094
34,4,4,0.000119601
35,4,4,0.000127694
36,4,4,0.000134466
37,4,4,0.000118103
38,4,4,0.000103025
39,4,4,9.81225e-05
40,4,4,0.000102123
41,4,4,0.000108871
42,4,4,0.000101486
43,4,4,0.000104676
44,4,4,0.000103102
45,4,4,0.000106439
46,4,4,0.000101978
47,4,4,0.000123654
48,4,4,0.000132456
49,4,4,0.000141626
50,4,4,0.000128546
51,4,4,0.000117386
52,4,4,0.000104793
53,4,4,8.96119e-05
54,4,4,8.56942e-05
