0,2,4,0.0115803
1,2,4,0.00705676
2,2,4,0.012946
3,2,4,0.0194418
4,2,4,0.0194987
5,2,4,0.0195001
6,2,4,0.0194979
7,2,4,0.0177449
8,2,4,0.0177479
9,2,4,0.017749
10,2,4,0.0194987
11,2,4,0.0195008
12,2,4,0.0194971
13,2,4,0.0194933
14,2,4,0.0192468
15,2,4,0.0192708
16,2,4,0.0190035
17,2,4,0.0189974
18,2,4,0.0189865
19,2,4,0.018999
20,2,4,0.0192485
21,2,4,0.0189947
22,2,4,0.0192442
23,2,4,0.01925
24,2,4,0.0194983
25,2,4,0.0194972
26,2,4,0.0195014
27,2,4,0.0194956
28,2,4,0.0194956
29,2,4,0.0194949
30,2,4,0.0194977
31,2,4,0.019498
32,2,4,0.0192496
33,2,4,0.0192475
34,2,4,0.0192453
35,2,4,0.0194979
36,2,4,0.019498
37,2,4,0.019497
38,2,4,0.0194977
39,2,4,0.0194997
40,2,4,0.0195001
41,2,4,0.0194917
42,2,4,0.0194972
43,2,4,0.0207445
44,2,4,0.0207506
45,2,4,0.0222514
46,2,4,0.0235003
47,2,4,0.0235059
48,2,4,0.0219968
49,2,4,0.0194976
50,2,4,0.0194805
51,2,4,0.019497
52,2,4,0.0194978
53,2,4,0.0194976
54,2,4,0.0194996
55,2,4,0.0194996
56,2,4,0.0194973
57,2,4,0.0194946
58,2,4,0.0194993
59,2,4,0.0194999
60,2,4,0.019498
61,2,4,0.0194939
62,2,4,0.019497
63,2,4,0.0194969
64,2,4,0.0194982
65,2,4,0.019498
66,2,4,0.0194978
67,2,4,0.0194975
68,2,4,0.019497
69,2,4,0.0194984
70,2,4,0.0194964
71,2,4,0.0194979
72,2,4,0.0195014
73,2,4,0.0195007
74,2,4,0.019248
75,2,4,0.0192385
76,2,4,0.0192503
77,2,4,0.0195005
78,2,4,0.0194994
79,2,4,0.0194953
80,2,4,0.0194955
81,2,4,0.018745
82,2,4,0.0187481
83,2,4,0.0187487
84,2,4,0.019497
85,2,4,0.0194977
86,2,4,0.019497
87,2,4,0.0194972
88,2,4,0.0194969
89,2,4,0.0194982
90,2,4,0.0194984
91,2,4,0.0194983
92,2,4,0.0192496
93,2,4,0.0192471
94,2,4,0.0192448
95,2,4,0.0194981
96,2,4,0.0192481
97,2,4,0.019249
98,2,4,0.0192483
99,2,4,0.0194992
0,4,4,0.0116317
1,4,4,0.00631453
2,4,4,0.0121971
3,4,4,0.018696
4,4,4,0.0194978
5,4,4,0.0194929
6,4,4,0.0194995
7,4,4,0.0195022
8,4,4,0.019498
9,4,4,0.0194906
10,4,4,0.0194976
11,4,4,0.0192486
12,4,4,0.0192487
13,4,4,0.0192534
14,4,4,0.0194988
15,4,4,0.0195095
16,4,4,0.0194944
17,4,4,0.0194988
18,4,4,0.0194936
19,4,4,0.0194956
20,4,4,0.0194983
21,4,4,0.0194981
22,4,4,0.0194974
23,4,4,0.0194972
24,4,4,0.0194978
25,4,4,0.0194986
26,4,4,0.0195026
