0,2,4,0.000715702
1,2,4,0.000565928
2,2,4,0.000439624
3,2,4,0.000462652
4,2,4,0.00011659
5,2,4,0.00011482
6,2,4,0.000111954
7,2,4,0.000110914
8,2,4,0.000108415
9,2,4,0.00010446
10,2,4,9.97084e-05
11,2,4,9.63017e-05
12,2,4,9.54479e-05
13,2,4,9.55254e-05
14,2,4,9.45759e-05
15,2,4,9.94481e-05
16,2,4,0.000103721
17,2,4,0.00010209
18,2,4,0.000102831
19,2,4,9.87918e-05
20,2,4,9.96608e-05
21,2,4,9.96435e-05
22,2,4,0.000100645
23,2,4,0.000102947
24,2,4,0.00010091
25,2,4,9.9611e-05
26,2,4,0.000101817
27,2,4,0.000100112
28,2,4,0.000100618
29,2,4,9.99111e-05
30,2,4,9.70159e-05
31,2,4,9.48639e-05
32,2,4,9.49439e-05
33,2,4,9.58136e-05
34,2,4,9.57184e-05
35,2,4,9.5859e-05
36,2,4,9.8295e-05
37,2,4,9.89019e-05
38,2,4,9.87841e-05
39,2,4,0.000100332
40,2,4,0.0001007
41,2,4,0.000100595
42,2,4,0.000100543
43,2,4,0.000100332
44,2,4,0.000102529
45,2,4,9.77217e-05
46,2,4,9.32236e-05
47,2,4,9.55354e-05
48,2,4,9.79522e-05
49,2,4,9.57711e-05
50,2,4,9.32613e-05
51,2,4,9.41126e-05
52,2,4,9.58786e-05
53,2,4,9.78821e-05
54,2,4,9.20715e-05
55,2,4,9.71133e-05
56,2,4,8.89326e-05
57,2,4,0.000104951
58,2,4,0.000118677
59,2,4,0.000129169
60,2,4,0.000149923
61,2,4,0.000145883
62,2,4,0.000142449
63,2,4,0.00012338
64,2,4,0.000125835
65,2,4,0.000116375
66,2,4,0.000104788
67,2,4,9.24445e-05
68,2,4,9.19137e-05
69,2,4,9.12746e-05
70,2,4,9.73064e-05
71,2,4,9.82784e-05
72,2,4,0.000114937
73,2,4,0.000110512
74,2,4,0.000109187
75,2,4,9.5681e-05
76,2,4,9.37221e-05
77,2,4,9.75445e-05
78,2,4,9.63573e-05
79,2,4,0.0001007
80,2,4,9.64119e-05
81,2,4,9.46513e-05
82,2,4,9.94953e-05
83,2,4,9.78296e-05
84,2,4,9.92676e-05
85,2,4,9.10122e-05
86,2,4,0.000105942
87,2,4,0.00011779
88,2,4,0.000138236
89,2,4,0.000134597
90,2,4,0.000133707
91,2,4,0.000127639
92,2,4,0.000122935
93,2,4,0.000112312
94,2,4,9.85388e-05
95,2,4,9.27326e-05
96,2,4,0.000100878
97,2,4,0.000102621
98,2,4,0.00010197
99,2,4,0.000101224
0,4,4,0.000716762
1,4,4,0.000491974
2,4,4,0.000358042
3,4,4,0.000367377
4,4,4,9.1122e-05
5,4,4,9.32639e-05
6,4,4,0.000103563
